#RMID    RA    DEC 
RM 393    212.70243      53.93478     
RM 394    212.19428      53.60377     
RM 395    211.99533      52.90670     
RM 396    211.96408      53.17348     
RM 397    215.40217      53.33728     
RM 398    212.26113      53.68334     
RM 399    212.63053      52.25938     
RM 400    212.19965      53.62857     
RM 401    212.48869      53.84642     
RM 402    214.48789      52.14280     
RM 403    211.99345      52.84953     
RM 404    213.26070      52.06144     
RM 405    215.28952      52.63339     
RM 406    213.48002      54.13268     
RM 407    215.31566      53.52465     
RM 408    213.54107      52.02702     
RM 409    212.32076      52.42640     
RM 410    212.43702      53.83409     
RM 411    213.21815      54.10779     
RM 412    212.99046      52.10672     
RM 413    214.81420      53.92298     
RM 414    213.51162      54.14903     
RM 415    213.68646      52.01074     
RM 416    212.20592      53.68083     
RM 417    215.46358      53.29988     
RM 418    215.45090      52.85122     
RM 419    213.00808      52.09101     
RM 420    214.94089      52.30462     
RM 421    212.09468      53.57701     
RM 422    211.91320      52.98075     
RM 423    212.98030      54.07657     
RM 424    215.42192      52.76436     
RM 425    212.62503      52.21876     
RM 426    212.63469      53.96119     
RM 427    211.93688      52.86987     
RM 428    214.73415      53.97916     
RM 429    214.77390      52.21058     
RM 430    215.11357      52.40874     
RM 431    213.96500      52.00714     
RM 432    215.51167      53.00949     
RM 433    213.55532      54.17163     
RM 434    212.29861      52.39727     
RM 435    215.25906      53.66226     
RM 436    215.22363      53.69589     
RM 437    214.34618      54.11153     
RM 438    211.88804      53.21502     
RM 439    212.70734      54.01127     
RM 440    215.53806      53.09994     
RM 441    213.88294      51.98514     
RM 442    213.10721      54.12823     
RM 443    214.54620      52.10502     
RM 444    213.40159      54.18264     
RM 445    212.80985      52.10814     
RM 446    215.31523      52.53203     
RM 447    215.50540      52.80678     
RM 448    211.85818      52.93191     
RM 449    214.92398      53.93835     
RM 450    215.57163      53.03644     
RM 451    212.20995      53.76999     
RM 452    215.55869      53.25466     
RM 453    212.74490      52.12005     
RM 454    215.07539      52.32359     
RM 455    215.52851      52.83289     
RM 456    213.24639      51.99030     
RM 457    213.57136      51.95628     
RM 458    215.49982      53.43590     
RM 459    213.02897      54.14092     
RM 460    214.14319      51.98036     
RM 461    212.12691      53.71925     
RM 462    212.31855      53.86372     
RM 463    215.23730      52.42740     
RM 464    215.43472      53.55594     
RM 465    215.03446      52.27970     
RM 466    215.39252      52.57473     
RM 467    215.41749      52.60417     
RM 468    211.80668      53.03356     
RM 469    215.27611      53.73527     
RM 470    215.19787      53.80000     
RM 471    215.25313      53.75983     
