# Mean_MJD=56660.209
# RMID=118 SOURCE_TYPE=RM_TILE1
# ZFINAL=0.714
# EPOCH= 1
# PLATE=7338 MJD=56660 FIBERID=0272
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974 -7.9471e+00  0.0000e+00    16777216    88080384
  3567.796 -7.9462e+00  5.3870e+00           0    71303168
  3695.728  1.9872e+01  2.0134e+00           0           0
  3696.579  1.7902e+01  1.9436e+00           0           0
  3697.430  1.8824e+01  2.0065e+00           0           0
  3698.282  2.1331e+01  2.1175e+00           0           0
  3699.133  2.2140e+01  2.1180e+00           0           0
  3699.985  2.1712e+01  2.1273e+00           0           0
  3700.837  2.0452e+01  2.1262e+00           0           0
  3701.689  1.9745e+01  2.0672e+00           0           0
  3702.542  1.9851e+01  2.1894e+00           0    33554432
  3703.394  1.8530e+01  2.1787e+00           0    33554432
  3704.247  1.5650e+01  2.0114e+00           0           0
  3705.100  1.7816e+01  1.9792e+00           0           0
  3705.954  1.5463e+01  1.9304e+00           0           0
  3706.807  1.8167e+01  1.9315e+00           0           0
  3707.661  2.0572e+01  1.9368e+00           0           0
  3708.514  1.8628e+01  1.8996e+00           0           0
  3709.368  1.6952e+01  1.8689e+00           0           0
  3710.223  1.8388e+01  1.8484e+00           0           0
  3711.077  1.8912e+01  1.8901e+00           0           0
  3711.932  2.0556e+01  1.9116e+00           0           0
  3712.787  2.0859e+01  1.9532e+00           0           0
  3713.641  1.8791e+01  1.8976e+00           0           0
  3714.497  1.8008e+01  1.8976e+00           0           0
  3715.352  2.1447e+01  1.9037e+00           0           0
  3716.208  1.7930e+01  1.8588e+00           0           0
  3717.063  2.2764e+01  1.8806e+00           0           0
  3717.919  2.2171e+01  1.8759e+00           0           0
  3718.776  1.6193e+01  1.7482e+00           0           0
  3719.632  1.8816e+01  1.7287e+00           0           0
  3720.489  1.5416e+01  1.6607e+00           0           0
