# Mean_MJD=56660.209
# RMID=081 SOURCE_TYPE=RM_TILE2
# ZFINAL=1.584
# EPOCH= 1
# PLATE=7338 MJD=56660 FIBERID=0238
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974 -2.6089e+00  6.3823e+00           0    71303168
  3567.796 -7.3965e+00  6.3699e+00           0    71303168
  3815.048  7.7905e+00  1.3461e+00           0    33554432
  3815.926  5.8269e+00  1.2460e+00           0    33554432
  3816.805  4.1347e+00  1.1514e+00           0           0
  3817.684  6.4943e+00  1.1189e+00           0           0
  3818.563  8.7397e+00  1.1301e+00           0           0
  3819.443  4.1569e+00  1.0662e+00           0           0
  3820.322  4.5356e+00  1.0307e+00           0           0
  3821.202  5.4267e+00  1.0133e+00           0           0
  3822.082  5.4552e+00  1.0198e+00           0           0
  3822.962  4.7711e+00  9.8500e-01           0           0
  3823.842  4.9870e+00  1.0213e+00           0           0
  3824.723  6.7750e+00  1.0219e+00           0           0
  3825.604  3.9036e+00  9.8091e-01           0           0
  3826.485  8.1624e+00  9.7893e-01           0           0
  3827.366  5.1319e+00  9.6253e-01           0           0
  3828.247  3.3396e+00  9.5121e-01           0           0
  3829.129  9.3024e+00  1.1145e+00           0           0
  3830.011  7.9908e+00  1.1267e+00           0           0
  3830.893  5.2992e+00  1.1056e+00           0           0
  3831.775  7.8161e+00  1.1255e+00           0           0
  3832.657  4.7653e+00  1.0969e+00           0           0
  3833.540  2.4685e+00  1.0159e+00           0           0
  3834.423  6.4236e+00  1.1229e+00           0           0
  3835.306  6.5268e+00  1.1193e+00           0           0
  3836.189  4.4626e+00  1.0696e+00           0           0
  3837.072  4.3495e+00  1.0504e+00           0           0
  3837.956  4.5121e+00  9.9537e-01           0           0
  3838.840  3.8046e+00  9.6634e-01           0           0
  3839.724  4.0015e+00  9.6251e-01           0           0
  3840.608  6.8741e+00  1.0093e+00           0           0
  3841.492  6.8186e+00  1.0493e+00           0           0
  3842.377  6.8530e+00  1.0629e+00           0           0
  3843.262  7.4549e+00  1.0911e+00           0           0
  3844.147  7.3921e+00  1.0960e+00           0           0
  3845.032  6.6974e+00  1.0747e+00           0           0
  3845.918  7.0185e+00  1.0868e+00           0           0
  3846.803  7.1314e+00  1.0973e+00           0           0
  3847.689  6.7869e+00  1.0499e+00           0           0
  3848.575  7.3116e+00  1.0309e+00           0           0
  3849.461  7.1914e+00  1.0209e+00           0           0
  3850.348  6.2954e+00  1.0391e+00           0           0
  3851.235  6.9588e+00  1.0648e+00           0           0
  3852.121  5.1023e+00  1.0200e+00           0           0
  3853.009  4.4146e+00  1.0121e+00           0           0
  3853.896  5.7339e+00  9.7457e-01           0           0
  3854.783  5.1714e+00  9.7355e-01           0           0
  3855.671  3.7794e+00  9.8385e-01           0           0
  3856.559  7.0973e+00  1.0292e+00           0           0
  3857.447  3.9043e+00  9.9376e-01           0           0
  3858.335  4.3920e+00  9.5334e-01           0           0
  3859.224  4.7565e+00  9.2580e-01           0           0
  3860.113  4.5779e+00  8.7830e-01           0           0
  3861.002  5.6506e+00  9.3305e-01           0           0
  3861.891  6.4757e+00  9.6699e-01           0           0
  3862.780  5.5728e+00  9.7476e-01           0           0
  3863.670  5.2074e+00  9.8110e-01           0           0
  3864.559  5.9044e+00  9.6803e-01           0           0
  3865.449  5.7787e+00  9.3297e-01           0           0
  3866.339  5.0254e+00  9.2146e-01           0           0
  3867.230  6.3902e+00  9.3785e-01           0           0
  3868.120  6.3344e+00  9.4900e-01           0           0
  3869.011  6.0535e+00  9.3134e-01           0           0
  3869.902  4.7045e+00  9.1752e-01           0           0
  3870.793  4.6034e+00  8.9052e-01           0           0
  3871.685  5.6507e+00  9.4063e-01           0           0
  3872.576  3.8285e+00  8.9060e-01           0           0
  3873.468  4.1973e+00  8.8837e-01           0           0
  3874.360  7.0537e+00  9.4779e-01           0           0
  3875.252  8.5724e+00  9.7876e-01           0           0
  3876.145  7.2978e+00  9.8817e-01           0           0
  3877.037  5.4337e+00  9.4551e-01           0           0
  3877.930  5.9950e+00  9.3316e-01           0           0
  3878.823  6.0929e+00  8.9447e-01           0           0
  3879.716  5.2006e+00  8.8571e-01           0           0
  3880.610  6.0625e+00  9.2224e-01           0           0
  3881.503  5.9124e+00  9.1904e-01           0           0
  3882.397  4.3565e+00  9.0944e-01           0           0
  3883.291  6.2058e+00  9.2148e-01           0           0
  3884.186  5.2435e+00  8.9625e-01           0           0
  3885.080  3.7401e+00  8.9050e-01           0           0
  3885.975  4.8921e+00  9.0672e-01           0           0
  3886.870  6.1036e+00  9.1049e-01           0           0
  3887.765  5.5042e+00  9.1586e-01           0           0
  3888.660  5.6390e+00  1.0030e+00           0           0
  3889.556  4.2537e+00  1.0718e+00           0           0
  3890.451  2.9768e+00  1.0214e+00           0           0
  3891.347  2.9056e+00  9.1722e-01           0           0
  3892.243  4.4747e+00  8.3598e-01           0           0
  3893.140  6.5603e+00  9.1706e-01           0           0
  3894.036  7.2255e+00  9.5041e-01           0           0
