# Mean_MJD=56660.209
# RMID=072 SOURCE_TYPE=RM_TILE2
# ZFINAL=1.963
# EPOCH= 1
# PLATE=7338 MJD=56660 FIBERID=0192
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974 -9.1460e-01  0.0000e+00    16777216    88080384
  3567.796 -9.1449e-01  6.0731e+00           0    71303168
  3847.689  3.7269e+00  9.6922e-01           0           0
  3848.575  3.0269e+00  9.3113e-01           0           0
  3849.461  4.1043e+00  9.5837e-01           0           0
  3850.348  3.0150e+00  9.3836e-01           0           0
  3851.235  2.9365e+00  9.7458e-01           0           0
  3852.121  2.8195e+00  9.2534e-01           0           0
  3853.009 -8.6899e-01  9.1235e-01           0           0
  3853.896  5.1373e+00  9.3677e-01           0           0
  3854.783  2.6146e+00  9.3179e-01           0           0
  3855.671  1.6174e+00  9.0447e-01           0           0
  3856.559  4.2892e+00  9.9635e-01           0           0
  3857.447  6.0953e+00  1.0483e+00           0           0
  3858.335  4.5284e+00  9.8385e-01           0           0
  3859.224  2.2717e+00  8.9950e-01           0           0
  3860.113  4.5545e+00  8.8815e-01           0           0
  3861.002  5.0319e+00  9.2369e-01           0           0
  3861.891  4.4301e+00  9.2762e-01           0           0
  3862.780  3.8021e+00  9.4528e-01           0           0
  3863.670  1.7136e+00  9.2413e-01           0           0
  3864.559  3.0999e+00  9.5289e-01           0    33554432
  3865.449  3.9045e+00  9.3614e-01           0    33554432
  3866.339  2.7860e+00  8.6798e-01           0           0
  3867.230  2.3849e+00  8.6283e-01           0           0
  3868.120  3.0540e+00  8.5451e-01           0           0
  3869.011  3.0035e+00  8.7310e-01           0           0
  3869.902  5.5279e+00  9.3640e-01           0           0
  3870.793  1.8443e+00  8.4409e-01           0           0
  3871.685  2.5585e+00  8.8259e-01           0           0
  3872.576  4.4414e+00  9.2650e-01           0           0
  3873.468  2.7281e+00  8.4666e-01           0           0
  3874.360  1.5049e+00  7.8771e-01           0           0
  3875.252  3.5545e+00  8.2815e-01           0           0
  3876.145  3.7490e+00  9.1040e-01           0           0
  3877.037  3.4399e+00  9.0915e-01           0           0
  3877.930  4.6750e+00  9.1958e-01           0           0
  3878.823  5.5768e+00  8.6555e-01           0           0
  3879.716  3.2851e+00  8.1426e-01           0           0
  3880.610  3.3937e+00  8.2235e-01           0           0
  3881.503  4.4326e+00  9.0494e-01           0           0
  3882.397  4.3480e+00  8.8639e-01           0           0
  3883.291  3.8597e+00  8.6463e-01           0           0
  3884.186  3.9773e+00  8.3553e-01           0           0
  3885.080  4.2734e+00  8.7096e-01           0           0
  3885.975  3.9640e+00  8.7231e-01           0           0
  3886.870  3.4156e+00  8.4288e-01           0           0
  3887.765  2.8852e+00  8.4303e-01           0           0
  3888.660  3.7259e+00  9.7695e-01           0           0
  3889.556  4.3619e+00  1.1089e+00           0           0
  3890.451  2.6496e+00  1.0660e+00           0           0
  3891.347  4.9180e+00  9.7475e-01           0           0
  3892.243  3.3675e+00  8.5804e-01           0           0
  3893.140  2.8369e+00  8.2385e-01           0           0
  3894.036  3.7417e+00  8.6159e-01           0           0
  3894.933  3.8372e+00  8.7533e-01           0           0
  3895.830  2.9957e+00  8.9187e-01           0           0
  3896.727  3.0977e+00  8.9343e-01           0           0
  3897.624  2.4057e+00  8.4474e-01           0           0
  3898.522  3.2573e+00  8.4025e-01           0           0
  3899.420  3.3852e+00  8.1788e-01           0           0
  3900.318  2.2479e+00  8.0260e-01           0           0
  3901.216  3.3714e+00  8.1329e-01           0           0
  3902.114  5.4655e+00  8.8940e-01           0           0
  3903.013  3.4640e+00  8.8454e-01           0           0
  3903.912  1.6361e+00  8.2395e-01           0           0
  3904.811  3.2680e+00  8.6396e-01           0           0
  3905.710  4.9425e+00  8.7387e-01           0           0
  3906.609  2.0155e+00  8.6395e-01           0           0
  3907.509  3.0703e+00  8.8597e-01           0           0
  3908.409  3.7048e+00  9.5308e-01           0           0
  3909.309  3.6980e+00  9.6560e-01           0           0
  3910.209  3.1603e+00  9.0496e-01           0           0
  3911.110  3.1668e+00  9.5279e-01           0    33554432
  3912.010  4.6235e+00  9.8962e-01           0    33554432
  3912.911  3.7178e+00  9.7183e-01           0           0
  3913.812  2.6694e+00  1.0192e+00           0           0
  3914.713  2.8378e+00  1.0288e+00           0           0
  3915.615  3.4221e+00  1.0263e+00           0           0
  3916.517  3.8220e+00  9.6324e-01           0           0
  3917.419  4.2119e+00  9.1815e-01           0           0
  3918.321  3.6038e+00  8.8158e-01           0           0
  3919.223  4.1979e+00  8.2618e-01           0           0
  3920.126  3.7414e+00  8.0565e-01           0           0
  3921.028  2.4444e+00  7.3802e-01           0           0
  3921.931  2.8592e+00  7.5215e-01           0           0
  3922.834  5.1491e+00  8.1708e-01           0           0
  3923.738  2.3439e+00  7.5204e-01           0           0
  3924.641  1.4450e+00  7.2696e-01           0           0
  3925.545  3.1374e+00  7.7184e-01           0           0
  3926.449  3.9943e+00  7.8840e-01           0           0
  3927.353  3.5793e+00  7.6890e-01           0           0
  3928.258  4.3321e+00  7.4408e-01           0           0
  3929.162  2.9069e+00  6.9829e-01           0           0
  3930.067  2.3400e+00  7.2412e-01           0           0
  3930.972  2.9809e+00  6.9303e-01           0    33554432
  3931.877  3.4382e+00  7.3423e-01           0    33554432
  3932.783  3.2430e+00  7.1902e-01           0           0
  3933.689  3.1816e+00  7.4607e-01           0           0
  3934.594  2.8995e+00  7.3094e-01           0           0
  3935.501  4.1256e+00  7.4495e-01           0           0
  3936.407  4.8561e+00  7.2333e-01           0           0
  3937.313  4.5315e+00  7.2467e-01           0           0
  3938.220  4.0548e+00  7.3396e-01           0           0
  3939.127  3.9759e+00  7.5445e-01           0           0
  3940.034  3.0702e+00  7.3604e-01           0           0
  3940.941  2.8471e+00  7.2544e-01           0           0
  3941.849  2.4586e+00  7.0193e-01           0           0
  3942.757  2.3234e+00  7.1845e-01           0           0
  3943.665  3.1192e+00  7.5018e-01           0           0
  3944.573  3.9978e+00  7.8140e-01           0           0
  3945.481  3.0160e+00  7.8099e-01           0           0
  3946.390  4.2140e+00  7.8459e-01           0           0
  3947.299  4.1225e+00  7.8934e-01           0           0
  3948.208  3.8251e+00  7.8370e-01           0           0
  3949.117  3.6268e+00  7.9020e-01           0           0
  3950.026  1.8040e+00  7.3552e-01           0           0
  3950.936  3.6362e+00  7.4700e-01           0           0
  3951.846  2.3500e+00  6.9801e-01           0           0
  3952.756  3.4267e+00  7.2837e-01           0           0
  3953.666  3.4989e+00  7.2108e-01           0           0
  3954.576  1.7979e+00  7.1312e-01           0           0
  3955.487  3.8062e+00  7.5636e-01           0           0
  3956.398  2.8381e+00  7.4594e-01           0           0
  3957.309  1.9322e+00  7.1242e-01           0           0
  3958.220  3.6540e+00  7.0902e-01           0           0
  3959.132  3.9080e+00  6.7826e-01           0           0
  3960.044  2.1725e+00  6.5318e-01           0           0
  3960.956  3.3316e+00  6.8936e-01           0           0
  3961.868  3.5966e+00  7.2350e-01           0           0
  3962.780  4.3579e+00  7.2451e-01           0           0
  3963.693  3.6554e+00  6.7754e-01           0           0
  3964.605  2.7901e+00  6.3935e-01           0           0
  3965.518  3.6715e+00  6.6172e-01           0           0
  3966.432  4.9878e+00  6.7830e-01           0           0
  3967.345  2.6916e+00  6.3476e-01           0           0
  3968.259  1.4417e+00  6.0046e-01           0           0
  3969.173  2.3562e+00  6.1521e-01           0           0
  3970.087  3.7477e+00  6.3361e-01           0           0
  3971.001  3.9556e+00  6.4147e-01           0           0
  3971.915  3.1145e+00  6.2490e-01           0           0
